Порядковый индекс,ID_маршрута,Номер_маршрута,ID_остановки,Координаты
632,1117,21,16143,"60.005704043931502,30.3266582"
633,1117,21,16143,"60.005704043931502,30.3266582"
634,1117,21,16546,"60.003023548051679,30.3305511"
635,1117,21,16546,"60.003023548051679,30.3305511"
636,1117,21,16551,"60.001708830543343,30.3397045"
637,1117,21,16551,"60.001708830543343,30.3397045"
638,1117,21,16555,"60.000578473194061,30.3476276"
639,1117,21,16555,"60.000578473194061,30.3476276"
640,1117,21,16559,"59.999861308020648,30.3526669"
641,1117,21,16559,"59.999861308020648,30.3526669"
642,1117,21,16562,"59.99858403249393,30.361578"
643,1117,21,16562,"59.99858403249393,30.361578"
644,1117,21,16496,"59.996903691180883,30.3639412"
645,1117,21,16496,"59.996903691180883,30.3639412"
646,1117,21,16500,"59.994283964461928,30.359972"
647,1117,21,16500,"59.994283964461928,30.359972"
648,1117,21,16508,"59.991213121107421,30.3523407"
649,1117,21,16508,"59.991213121107421,30.3523407"
650,1117,21,16966,"59.988480206617268,30.334425"
651,1117,21,16966,"59.988480206617268,30.334425"
652,1117,21,16972,"59.994533308531238,30.32938"
653,1117,21,16972,"59.994533308531238,30.32938"
654,1117,21,26925,"59.992483849473878,30.3215008"
655,1117,21,26925,"59.992483849473878,30.3215008"
656,1117,21,16332,"59.990885183284945,30.3163681"
657,1117,21,16332,"59.990885183284945,30.3163681"
658,1117,21,16345,"59.988948234239146,30.3102207"
659,1117,21,16345,"59.988948234239146,30.3102207"
660,1117,21,16974,"59.987164911075695,30.3045425"
661,1117,21,16974,"59.987164911075695,30.3045425"
662,1117,21,16356,"59.986194633589896,30.2973099"
663,1117,21,16356,"59.986194633589896,30.2973099"
664,1117,21,16368,"59.985425907640767,30.2878075"
665,1117,21,16368,"59.985425907640767,30.2878075"
666,1117,21,16372,"59.984571746757375,30.278141"
667,1117,21,16372,"59.984571746757375,30.278141"
668,1117,21,16380,"59.983946487017832,30.2707024"
669,1117,21,16380,"59.983946487017832,30.2707024"
670,1117,21,16384,"59.983932820006373,30.2648106"
671,1117,21,16384,"59.983932820006373,30.2648106"
672,1117,21,24338,"59.984202742437809,30.2568188"
673,1117,21,24338,"59.984202742437809,30.2568188"
674,1117,21,16087,"59.984397495230205,30.2489147"
675,1117,21,16087,"59.984397495230205,30.2489147"
676,1117,21,16092,"59.984554663314874,30.2436981"
677,1117,21,16092,"59.984554663314874,30.2436981"
678,1117,21,16169,"59.984031905711582,30.2409801"
679,1114,23,24308,"59.917393104906502,30.4980583"
680,1114,23,15951,"59.916037323856045,30.4972858"
681,1114,23,15951,"59.916037323856045,30.4972858"
682,1114,23,15954,"59.912161401879899,30.4997177"
683,1114,23,15954,"59.912161401879899,30.4997177"
684,1114,23,15958,"59.908877470750021,30.491703"
685,1114,23,15958,"59.908877470750021,30.491703"
686,1114,23,15963,"59.906901476625777,30.483387"
687,1114,23,15963,"59.906901476625777,30.483387"
688,1114,23,15969,"59.905329501302049,30.476738"
689,1114,23,15969,"59.905329501302049,30.476738"
690,1114,23,15974,"59.903644425505604,30.4695263"
691,1114,23,15974,"59.903644425505604,30.4695263"
692,1114,23,15976,"59.901301617079064,30.4593887"
693,1114,23,15976,"59.901301617079064,30.4593887"
694,1114,23,16226,"59.904815767741894,30.4543514"
695,1114,23,16226,"59.904815767741894,30.4543514"
696,1114,23,16229,"59.908124072649883,30.4482841"
697,1114,23,16229,"59.908124072649883,30.4482841"
698,1114,23,16232,"59.912048404432532,30.4398918"
699,1114,23,16232,"59.912048404432532,30.4398918"
700,1114,23,32611,"59.91404806000935,30.4353981"
701,1114,23,32611,"59.91404806000935,30.4353981"
702,1114,23,32612,"59.91617769769654,30.4304638"
703,1114,23,32612,"59.91617769769654,30.4304638"
704,1114,23,16235,"59.918314045800692,30.4254494"
705,1114,23,16235,"59.918314045800692,30.4254494"
706,1114,23,32391,"59.920426293259368,30.422308"
707,1114,23,32391,"59.920426293259368,30.422308"
708,1114,23,15989,"59.92223032685925,30.4197674"
709,1114,23,15989,"59.92223032685925,30.4197674"
710,1114,23,15992,"59.924674344969475,30.4166012"
711,1114,23,15992,"59.924674344969475,30.4166012"
712,1114,23,16002,"59.928257894748675,30.4125271"
713,1114,23,16002,"59.928257894748675,30.4125271"
714,1114,23,16063,"59.929945143753706,30.4112988"
715,1114,23,16063,"59.929945143753706,30.4112988"
716,1114,23,16068,"59.933350182105642,30.4076672"
717,1114,23,16068,"59.933350182105642,30.4076672"
718,1114,23,16075,"59.936635113945094,30.4080811"
719,1114,23,16075,"59.936635113945094,30.4080811"
720,1114,23,16082,"59.941356633487153,30.4086609"
721,1114,23,16082,"59.941356633487153,30.4086609"
722,1114,23,16089,"59.944240535328433,30.4129543"
723,1114,23,16089,"59.944240535328433,30.4129543"
724,1114,23,16094,"59.946853961602478,30.4142628"
725,1114,23,16094,"59.946853961602478,30.4142628"
726,1114,23,16237,"59.95285653631872,30.415041"
727,1114,23,16237,"59.95285653631872,30.415041"
