,№,Официальное наименование,Координаты,Район,Количество маршрутов
105,3347,"Конечная станция ""Пр. Культуры"" (посадки и высадки нет)","60.052869092232683,30.3779907",Выборгский,1
106,3348,"Большая Пороховская ул., 46","59.953178011075622,30.430563",Красногвардейский,1
107,3349,Курская ул,"59.911757348630204,30.3483639",Центральный,3
108,3350,Ул. Комсомола,"59.95607456319869,30.3513126",Калининский,2
109,3352,"Пр. Культуры, 26","60.048818196851563,30.3773556",Калининский,2
110,3353,Пр. Энергетиков,"59.953089092837807,30.4357643",Красногвардейский,1
111,3355,Пл. Ленина,"59.955315396923176,30.3545914",Калининский,2
112,3356,Пр. Просвещения,"60.045394325299412,30.3743095",Калининский,2
113,3358,Тамбовская ул,"59.90683298251966,30.3486214",Центральный,3
114,3359,Салтыковская дорога,"59.953013854142554,30.4406128",Красногвардейский,1
115,3360,"Пр. Культуры, 11","60.040721736513895,30.3700924",Калининский,2
116,3361,Финляндский вокзал,"59.956977332888378,30.355751",Калининский,2
117,3362,Пр. Культуры,"60.036181529803557,30.3654194",Калининский,3
118,3363,Днепропетровская ул,"59.905966519878618,30.3523235",Невский,3
119,3365,Бокситогорская ул,"59.952948875131931,30.4491615",Красногвардейский,1
120,3369,Расстанный пер,"59.905723358315669,30.356369",Невский,1
121,3370,Манчестерская ул,"60.011081453751991,30.3245201",Выборгский,2
122,3373,Пр. Науки,"60.016475056151847,30.3694401",Калининский,3
123,3374,Удельный парк,"60.005704043931502,30.3266582",Выборгский,2
124,3375,Ул. Чапаева,"59.957821947412029,30.3338242",Центральный,1
125,3378,Старообрядческий мост,"59.904822617574986,30.3635826",Невский,1
126,3379,Ириновский пр,"59.958355377071733,30.4785213",Красногвардейский,3
127,3380,Ж.-д. станция Ланская,"59.994061944188644,30.3312988",Выборгский,3
128,3382,1-й Муринский пр,"59.988405048280171,30.3345089",Выборгский,3
129,3383,Ул. Лазо,"59.959986387567263,30.4819736",Красногвардейский,1
130,3386,Ул. Коммуны,"59.961730146459274,30.4881306",Красногвардейский,1
131,3388,"Ст. метро ""Лесная""","59.985354158974573,30.3418274",Выборгский,2
132,3391,Ул. Александра Матросова,"59.981489751052763,30.3436832",Выборгский,2
133,3393,Литовская ул,"59.976760277302354,30.3443146",Выборгский,2
134,3394,"Конечная станция ""Приморский пр."" (посадки и высадки нет)","59.984031905711582,30.2409801",Приморский,2
135,3396,Волковский пр,"59.901342720405623,30.3660202",Невский,1
136,3398,"Ст. метро ""Выборгская""","59.970895338404112,30.34832",Выборгский,2
137,3402,"Конечная станция ""Ул. Самойловой"" (посадки и высадки нет)","59.900859753105607,30.3716927",Невский,1
138,3404,Ул. Покрышева,"59.983874735144731,30.2642193",Приморский,2
139,3410,Серебряков пер,"59.983755148343938,30.2697525",Приморский,2
140,3414,Ул. Оскаленко,"59.984417995457477,30.2775021",Приморский,2
141,3415,Ул. Самойловой,"59.900493241318379,30.3712997",Невский,1
142,3418,Мгинская ул,"59.900736441180065,30.3705635",Невский,1
143,3420,Ул. Академика Шиманского,"59.985203827931542,30.2870598",Приморский,2
144,3424,Карельский пер,"59.985760732693272,30.2947006",Приморский,2
145,3427,Енотаевская ул,"60.016655965536614,30.3224468",Выборгский,2
146,3431,"Ст. метро ""Чёрная речка""","59.986512368433978,30.3003044",Петроградский,2
147,3433,Новочеркасский пр,"59.94041238335867,30.4084663",Красногвардейский,2
148,3437,Наб. Чёрной речки,"59.987294734778892,30.3054028",Приморский,3
149,3439,Наличная ул,"59.937610265454197,30.2347622",Василеостровский,2
150,3441,Ул. Антонова-Овсеенко,"59.904815767741894,30.4543514",Невский,4
151,3444,"Торговый комплекс ""Лента""","59.908124072649883,30.4482841",Невский,4
152,3446,Торжковский рынок,"59.990557242212603,30.3158054",Приморский,3
